SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.43942,-66.00183
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777
JAC,Jackson Hole Airport,Jackson,WY,USA,43.60732,-110.73774
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
SFO,San Francisco International Airport,San Francisco,CA,USA,37.61900,-122.37484
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.97960,-87.90446
MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.04614,-84.66217
MCO,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.03720
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824
RSW,Southwest Florida International Airport,Ft. Myers,FL,USA,26.53617,-81.75517
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.59750
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.72940,-92.22425
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,30.40728,-89.07009
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667
MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083
MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
IND,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,USA,35.23706,-120.64239
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275
DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.66700
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818
RIC,Richmond International Airport,Richmond,VA,USA,37.50517,-77.31967
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.69250,-74.16866
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.17540,-76.66820
ORF,Norfolk International Airport,Norfolk,VA,USA,36.89461,-76.20122
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313
OAK,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.35850
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822
GEG,Spokane International Airport,Spokane,WA,USA,47.61986,-117.53384
HNL,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241
LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.77690,-111.15301
SAT,San Antonio International Airport,San Antonio,TX,USA,29.53369,-98.46978
ROC,Greater Rochester International Airport,Rochester,NY,USA,43.11887,-77.67238
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286
DAL,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177
HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889
PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987
BTV,Burlington International Airport,Burlington,VT,USA,44.47300,-73.15031
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077
OGG,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046
PIT,Pittsburgh International Airport,Pittsburgh,PA,USA,40.49147,-80.23287
PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.68316,-80.09559
IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA,42.88082,-85.52277
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.77870,-84.58736
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,USA,44.12326,-123.21869
RDU,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.28545,-156.76600
FAI,Fairbanks International Airport,Fairbanks,AK,USA,64.81368,-147.85967
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619
FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.33659,-94.36744
FNT,Bishop International Airport,Flint,MI,USA,42.96550,-83.74346
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
ONT,Ontario International Airport,Ontario,CA,USA,34.05600,-117.60119
MSN,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.39533,-82.55411
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631
FWA,Fort Wayne International Airport,Fort Wayne,IN,USA,40.97847,-85.19515
HPN,Westchester County Airport,White Plains,NY,USA,41.06696,-73.70757
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681
SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA,32.12758,-81.20214
PVD,Theodore Francis Green State Airport,Providence,RI,USA,41.72400,-71.42822
EVV,Evansville Regional Airport,Evansville,IN,USA,38.03799,-87.53063
MOB,Mobile Regional Airport,Mobile,AL,USA,30.69142,-88.24283
LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98766
RNO,Reno/Tahoe International Airport,Reno,NV,USA,39.49858,-119.76806
RAP,Rapid City Regional Airport,Rapid City,SD,USA,44.04532,-103.05737
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,USA,47.38660,-92.83899
JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.49406,-81.68786
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.84940
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025
MLU,Monroe Regional Airport,Monroe,LA,USA,32.51087,-92.03769
DSM,Des Moines International Airport,Des Moines,IA,USA,41.53493,-93.66068
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686
ISP,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021
MKE,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347
LEX,Blue Grass Airport,Lexington,KY,USA,38.03697,-84.60539
